Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Juom Maker Bol,Baskonia Vitoria-Gasteiz,C,2,2,,0,100,0,2.6,0.759,1
Ognjen Radosic,Crvena Zvezda Meridianbet Belgrade,G,0,0,,0,100,0,0.8,0,1
Juan Nunez,FC Barcelona,G,-2,,-2,0,100,0,5.3,-0.38,1
Nikola Kusturica,FC Barcelona,F,-1.8,,-1.8,0,100,0,1.1,-1.588,1
Mitar Bosnjakovic,Partizan Mozzart Bet Belgrade,G,0,0,,0,100,0,9.4,0,3
Mario Nakic,Partizan Mozzart Bet Belgrade,F,3.3,3.3,,0,100,0,6.2,0.531,1
Gunars Grinvalds,Real Madrid,F,0,0,,0,100,0,0.8,0,1
Itay Segev,Hapoel IBI Tel Aviv,C,-1.8,,-1.8,0,100,0,3,-0.603,1
Izan Almansa,Real Madrid,F,-0.63,-0.9,-0.5,0.55,100,0,9.6,-0.197,3
Vit Hrabar,Baskonia Vitoria-Gasteiz,F,0.02,-0.3,1,0.78,100,0,10.2,0.01,4
Isaac Nogues,Valencia Basket,G,0.36,0.64,0.19,0.97,100,0,42.3,0.111,13
Miikka Muurinen,Partizan Mozzart Bet Belgrade,F,0.03,-0.5,0.3,1.17,100,0,10.9,0.018,6
Uros Mijailovic,Partizan Mozzart Bet Belgrade,F,-1.14,-1.35,-1,1.2,100,0,12.2,-0.467,5
Guy Palatin,Hapoel IBI Tel Aviv,G,0.17,0.43,0.06,1.52,100,0,21.7,0.078,10
Nemanja Dangubic,Dubai Basketball,F,0.64,0.6,0.7,1.57,100,0,107.4,0.084,14
Levi Randolph,Hapoel IBI Tel Aviv,F,0.74,1.08,0.5,1.9,100,0,123.1,0.072,12
Leon Kratzer,FC Bayern Munich,C,-0.34,-0.02,-1,1.93,100,0,58,-0.053,9
Matteo Baiocchi,Virtus Bologna,G,-1.12,-1,-1.3,2.04,100,0,49.5,-0.113,5
Rafa Villar,Baskonia Vitoria-Gasteiz,G,1,0.77,1.28,2.3,100,0,168.2,0.16,27
Yago Dos Santos,Crvena Zvezda Meridianbet Belgrade,G,1.65,1.04,2.13,2.41,100,0,269.1,0.153,25
Giannoulis Larentzakis,Olympiacos Piraeus,G,0.13,-1.35,0.72,2.56,100,0,20.9,0.043,7
Xabi Lopez-arostegui,Valencia Basket,G,0.42,-0.7,1.54,2.56,100,0,84.7,0.05,10
David Mutaf,Anadolu Efes Istanbul,G,1.47,0.2,1.9,2.59,100,0,49.8,0.237,8
Panagiotis Kalaitzakis,Panathinaikos AKTOR Athens,F,1.11,0.91,1.49,2.6,100,0,132.8,0.217,26
Stefan Joksimovic,Baskonia Vitoria-Gasteiz,F,-0.35,-1.13,1,2.62,100,0,65.3,-0.06,11
Nathan Sestina,EA7 Emporio Armani Milan,F,1.68,3.75,-0.1,2.68,100,0,110.5,0.197,13
Gabriele Procida,Real Madrid,F,0.97,4.4,-0.17,2.74,100,0,39.9,0.195,8
Diego Flaccadori,EA7 Emporio Armani Milan,G,1.04,1.67,0.2,2.92,100,0,41.3,0.177,7
Tomer Ginat,Hapoel IBI Tel Aviv,F,3.35,4.14,2.3,2.93,100,0,137.3,0.342,14
Erkan Yilmaz,Anadolu Efes Istanbul,F,1.76,1.33,2.04,3.06,95.65,0,203.8,0.199,23
Marius Grigonis,Panathinaikos AKTOR Athens,G,0.59,0.91,0.41,3.08,94.74,0,110.6,0.102,19
Ousmane Diop,EA7 Emporio Armani Milan,F,3.25,,3.25,3.18,100,0,13.3,0.488,2
Dejan Davidovac,Crvena Zvezda Meridianbet Belgrade,F,3.68,3.65,3.7,3.19,85.71,0,299,0.258,21
Melih Mahmutoglu,Fenerbahce Beko Istanbul,G,0.31,1.6,-1.4,3.23,100,0,41.8,0.053,7
Yankuba Sima,Valencia Basket,C,0.6,0.1,0.85,3.25,100,0,49.5,0.073,6
Juani Marcos,FC Barcelona,G,1.53,1.58,1.47,3.48,96.77,0,266.3,0.178,31
Stefan Miljenovic,Crvena Zvezda Meridianbet Belgrade,G,2.37,2.13,2.76,3.54,100,0,89.5,0.344,13
Stefano Tonut,EA7 Emporio Armani Milan,G,1.57,2.53,-0.67,3.62,90,0,89.7,0.175,10
Matteo Accorsi,Virtus Bologna,G,0.68,-0.9,1.73,3.65,100,0,25.3,0.134,5
Bar Timor,Hapoel IBI Tel Aviv,G,1.88,0.78,3.52,3.68,90,0,57.8,0.325,10
Armando Bacot Jr.,Fenerbahce Beko Istanbul,C,1.55,2.3,0.91,3.69,92.31,0,263,0.154,26
Enzo Shahrvin,Paris Basketball,C,2.35,0.8,3.23,3.71,100,0,94.9,0.272,11
Monte Morris,Olympiacos Piraeus,G,1.48,-0.25,2.05,3.72,87.5,0,92.3,0.128,8
Adam Atamna,LDLC ASVEL Villeurbanne,G,0.49,-0.84,1.67,3.72,94.12,0,176.9,0.047,17
Dovydas Giedraitis,Zalgiris Kaunas,G,1.94,1.5,2.29,3.75,95,0,249.7,0.155,20
