שם שחקן,שם קבוצה,עמדה,מחיר
Sasha Vezenkov,OLY,Forward,17
Mike James,EFS,Guard,16
Chima Moneke,CZV,Forward,15.5
Elijah Bryant,HTA,Guard,15.5
Jonas Valanciunas,ZAL,Center,15.5
Nikola Milutinov,OLY,Center,15.3
Tj Shorts,VBC,Guard,14.9
Jaylen Hoard,MTA,Forward,14.8
Nadir Hifi,PBB,Guard,14.8
Sylvain Francisco,PAO,Guard,14.8
Walter Tavares,RMB,Center,14.7
Kendrick Nunn,PAO,Guard,14.6
Mfiondu Kabengele,DUB,Center,14.6
Dario Saric,EFS,Forward,14.5
Mathias Lessort,PAO,Center,14.4
Wade Baldwin IV,FBT,Guard,14.3
Guerschon Yabusele,PAO,Forward,14.3
Dan Oturu,HTA,Center,14.2
Moses Wright,MIL,Center,14
Tornike Shengelia,DUB,Forward,13.8
Facundo Campazzo,RMB,Guard,13.7
Carlik Jones,PAR,Guard,13.6
Kevin Punter,BAR,Guard,13.6
Mckinley Wright,DUB,Guard,13.5
Shane Larkin,FBT,Guard,13.5
Nigel Hayes-davis,PAO,Forward,13.4
Roman Sorkin,MTA,Center,13.4
Dzanan Musa,DUB,Guard,13.3
Zach Leday,HTA,Forward,13.3
Jordan Nwora,CZV,Forward,13
Timothe Luwawu-cabarrot,RMB,Forward,12.8
Jean Montero,OLY,Guard,12.8
Filip Petrusev,DUB,Forward,12.7
Dwayne Bacon,DUB,Forward,12.7
Talen Horton-Tucker,FBT,Guard,12.7
Tyler Dorsey,OLY,Guard,12.6
Josh Nebo,BAR,Center,12.5
Amir Coffey,HTA,Forward,12.5
Shavon Shields,FBT,Forward,12.4
Will Clyburn,FBT,Forward,12.4
Kameron Taylor,VBC,Forward,12.4
Patty Mills,ASV,Guard,12.3
Elie Okobo,DUB,Guard,12.2
Daniel Theis,MTA,Center,12.2
Justin Robinson,BAR,Guard,12.2
Chris Jones,CZV,Guard,12.1
Tyrique Jones,OLY,Center,12
Ante Zizic,BJK,Center,12
Vasilije Micic,HTA,Guard,12
Alec Peters,MIL,Forward,11.7
Isaac Bonga,PAO,Forward,11.5
T.J. Warren,PBB,Forward,11.5
Juancho Hernangomez,PAO,Forward,11.4
Carsen Edwards,ZAL,Guard,11.4
Bonzie Colson,MTA,Forward,11.3
Marcus Bingham,FBT,Center,11.3
MarJon Beauchamp,BAY,Forward,11.3
Azuolas Tubelis,ZAL,Forward,11.1
Tyson Etienne,PBB,Guard,11.1
Codi Miller-mcintyre,OLY,Guard,11
Johnathan Motley,CZV,Center,11
Austin Wiley,BAY,Center,11
Rasheed Bello,VIR,Guard,11
Donta Hall,OLY,Center,10.9
Keaton Wallace,MTA,Guard,10.8
Kostas Sloukas,PAO,Guard,10.7
Darrun Russell,EFS,Guard,10.7
Trent Forrest,FBT,Guard,10.6
Sterling Brown,ZAL,Guard,10.6
Patrick Baldwin Jr.,CZV,Center,10.6
Johannes Thiemann,BAY,Center,10.6
Tj Leaf,MTA,Forward,10.5
Eugene Omoruyi,BJK,Forward,10.5
Trent Frazier,VIR,Guard,10.5
Tadas Sedekerskis,KBA,Forward,10.4
Joel Bolomboy,ASV,Center,10.4
Armoni Brooks,VBC,Guard,10.3
Matthew Strazel,EFS,Guard,10.3
Bruno Fernando,EFS,Center,10.3
Nathan Reuvers,VBC,Forward,10.3
Jordan Loyd,EFS,Guard,10.2
Andreas Obst,BAY,Guard,10.2
O'shae J Brissett,MTA,Forward,10.2
Umoja Gibson,BAR,Guard,10.2
Duane Washington,BAY,Guard,10.1
Kyle Allman Jr.,PAR,Guard,10.1
Mamadi Diakite,DUB,Center,10.1
Jared Butler,CZV,Guard,10.1
Ethan Thompson,PAR,Guard,10.1
Nick Weiler-babb,CZV,Guard,10
Kessler Edwards,VIR,Forward,10
Johnny Juzang,FBT,Forward,10
Chris Duarte,KBA,Guard,10
Devon Dotson,BJK,Guard,9.9
David DeJulius,BJK,Guard,9.9
Tremont Waters,ASV,Guard,9.9
Marcus Carr,VIR,Guard,9.9
Bobi Klintman,VIR,Center,9.9
Theo Maledon,RMB,Guard,9.8
Jacob Toppin,HTA,Forward,9.8
Alize Johnson,PBB,Forward,9.8
Devin Booker,MIL,Center,9.7
Nigel Williams-goss,ZAL,Guard,9.7
Antony Brown,BJK,Forward,9.7
Jaylen Nowell,BJK,Guard,9.7
Tomas Satoransky,HTA,Guard,9.6
Marko Guduric,MIL,Guard,9.6
Antonio Blakeney,HTA,Guard,9.6
Ercan Osmani,EFS,Forward,9.6
Kobi Simmons,KBA,Guard,9.6
Marek Blazevic,ZAL,Center,9.5
Jimmy Clark Iii,MTA,Guard,9.5
Kenneth Faried,KBA,Center,9.5
Jae Crowder,ASV,Forward,9.5
Jaron Blossomgame,DUB,Forward,9.4
Evan Fournier,OLY,Guard,9.4
Ebuka Izundu,CZV,Center,9.4
Tosan Evbuomwan,BAR,Forward,9.4
Mathis Dossou-Yovo,ASV,Forward,9.4
Mouhamet Diouf,VIR,Center,9.3
TyTy Washington Jr.,ASV,Guard,9.3
Mãozinha Pereira,PBB,Forward,9.3
Jason Burnell,MIL,Forward,9.2
Joffrey Lauvergne,PAR,Center,9.1
Isaia Cordinier,EFS,Guard,9.1
Stanley Umude,BAR,Guard,9.1
Olivier Sarr,RMB,Center,9.1
Damian Jones,RMB,Center,9.1
Gabriel Deck,RMB,Forward,9
Vladimir Lucic,BAY,Forward,9
Chuma Okeke,RMB,Forward,9
Jared Rhoden,PBB,Guard,9
Garrison Mathews,MIL,Guard,9
Gonzalo Corbalán,VBC,Guard,9
Kevin Kokila,VIR,Center,8.9
Miles Norris,BAY,Forward,8.9
Jerian Grant,PAO,Guard,8.8
Neal Sako,VBC,Center,8.8
Yam Madar,MTA,Guard,8.8
D.J. Stewart,KBA,Guard,8.8
Kai Jones,EFS,Center,8.8
Tyrese Martin,BAR,Forward,8.8
A.J. Lawson,KBA,Guard,8.8
Hugo Besson,ASV,Guard,8.8
Darius Thompson,MIL,Guard,8.7
Leandro Bolmaro,MIL,Guard,8.7
Jaime Pradilla,RMB,Forward,8.7
Bobi Gach,ASV,Forward,8.7
Santi Yusta,EFS,Forward,8.7
Mouhamadou Gueye,VBC,Forward,8.7
Wendell Moore Jr.,VIR,Guard,8.7
Rokas Jokubaitis,BAY,Guard,8.6
Saben Lee,ZAL,Guard,8.6
Mady Sissoko,BJK,Center,8.6
Conor Morgan,BJK,Forward,8.5
Omari Moore,VBC,Guard,8.5
R.J. Cole,MIL,Guard,8.5
Wenyen Gabriel,BJK,Center,8.4
Derrick Alston Jr.,VIR,Forward,8.4
